nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
,,,,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
ENG,MF,22,1993,36,2899,81,84.8,32.2,32,,19,4,,2,1.64,53,36,17,0.53,0.36,,,,,
IRL,"DF,MF",27,1988,26,2316,89,67.7,25.7,26,,25,0,,0,1.65,46,28,18,0.7,0.7,,,,,
ENG,MF,26,1989,10,406,41,11.9,4.5,4,,2,6,,8,1.3,4,9,-5,-1.11,-1.8,,,,,
ENG,MF,18,1998,24,1544,64,45.1,17.2,18,,12,6,,2,1.83,29,17,12,0.7,0.41,,,,,
COD,"FW,MF",27,1989,13,1023,79,29.9,11.4,12,,6,1,,0,1.46,13,13,0,0.0,-0.68,,,,,
URU,FW,25,1990,24,1425,59,41.7,15.8,16,,6,8,,2,1.25,19,23,-4,-0.25,1.51,,,,,
NOR,FW,26,1990,22,1171,53,34.2,13.0,13,,7,9,,7,0.59,12,29,-17,-1.31,-0.27,,,,,
EGY,"DF,MF",28,1987,33,2524,76,73.8,28.0,28,,26,5,,0,0.82,28,59,-31,-1.11,0.1,,,,,
SEN,"DF,MF",26,1990,15,1273,85,37.2,14.1,15,,11,0,,0,1.13,14,30,-16,-1.13,0.0,,,,,
ITA,DF,28,1988,16,1330,83,38.9,14.8,15,,14,1,,0,1.13,17,31,-14,-0.95,0.3,,,,,
SCO,"DF,MF",22,1994,33,2736,83,80.0,30.4,31,,29,2,,1,0.94,32,59,-27,-0.89,1.22,,,,,
,FW,18,1997,0,,,,,0,,0,0,,1,,,,,,,,,,,
SLE,DF,31,1985,26,2135,82,62.4,23.7,25,,20,1,,2,0.73,20,53,-33,-1.39,-0.69,,,,,
ENG,MF,18,1997,0,,,,,0,,0,0,,1,,,,,,,,,,,
SCO,GK,31,1985,16,1440,90,42.1,16.0,16,,16,0,,19,0.38,12,44,-32,-2.0,-1.5,,,,,
IRL,MF,27,1989,20,962,48,28.1,10.7,9,,6,11,,11,0.85,9,23,-14,-1.31,-0.25,,,,,
COD,FW,30,1985,12,764,64,22.3,8.5,8,,5,4,,5,0.5,7,16,-9,-1.06,0.09,,,,,
SVK,GK,31,1985,0,,,,,0,,0,0,,3,,,,,,,,,,,
SUI,GK,31,1984,22,1980,90,57.9,22.0,22,,22,0,,16,1.27,25,36,-11,-0.5,1.5,,,,,
BRA,MF,29,1986,11,576,52,16.8,6.4,7,,2,4,,1,1.27,2,10,-8,-1.25,-0.14,,,,,
ENG,FW,21,1994,0,,,,,0,,0,0,,2,,,,,,,,,,,
ENG,"DF,FW",20,1996,0,,,,,0,,0,0,,5,,,,,,,,,,,
