nation,pos,age,born,90s,Goals,Goals,Goals,Goals,Goals,Expected,Expected,Expected,Expected,Launched,Launched,Launched,Passes,Passes,Passes,Passes,Goal Kicks,Goal Kicks,Goal Kicks,Crosses,Crosses,Crosses,Sweeper,Sweeper,Sweeper
,,,,,GA,PKA,FK,CK,OG,PSxG,PSxG/SoT,PSxG+/-,/90,Cmp,Att,Cmp%,Att (GK),Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
BRA,GK,36,1983,6.0,9,1,1,0,0,8.6,0.33,-0.4,-0.06,27,53,50.9,240,24,17.9,27.6,43,23.3,26.3,86,5,5.8,10,1.67,15.0
ITA,GK,20,1999,4.0,10,1,0,1,1,7.2,0.34,-1.8,-0.44,8,23,34.8,114,17,16.7,25.6,23,17.4,21.8,33,0,0.0,8,2.0,26.2
POL,GK,29,1991,28.0,46,5,1,8,1,47.4,0.29,2.4,0.09,92,257,35.8,724,168,27.8,30.2,231,24.2,23.4,443,23,5.2,21,0.75,12.6
ITA,GK,26,1994,34.0,53,5,1,7,0,54.2,0.27,1.2,0.03,175,429,40.8,688,139,39.1,33.5,274,58.4,42.0,530,19,3.6,22,0.65,14.2
ITA,GK,23,1996,4.0,6,0,0,2,0,4.9,0.23,-1.1,-0.28,26,54,48.1,81,17,39.5,35.6,25,88.0,56.4,71,1,1.4,0,0.0,6.8
ITA,GK,37,1983,36.0,91,5,2,9,2,72.1,0.33,-16.9,-0.47,195,502,38.8,1134,164,33.5,31.8,306,39.9,33.2,555,18,3.2,36,1.0,15.1
ITA,GK,19,2001,1.0,0,0,0,0,0,0.4,0.44,0.4,0.44,7,11,63.6,29,4,27.6,26.3,11,27.3,28.0,14,0,0.0,1,1.0,18.7
ITA,GK,28,1992,1.0,1,0,0,0,0,0.9,0.11,-0.1,-0.1,8,13,61.5,26,9,30.8,31.1,10,50.0,36.7,20,0,0.0,1,1.0,11.5
POL,GK,22,1997,35.0,55,8,1,10,1,56.2,0.33,2.2,0.06,180,496,36.3,789,160,44.9,37.9,260,54.6,43.6,486,24,4.9,27,0.77,13.3
ITA,GK,30,1990,3.0,4,0,0,1,1,3.0,0.19,0.0,0.01,28,66,42.4,56,10,64.3,45.9,32,93.8,59.6,52,2,3.8,1,0.33,11.1
ITA,GK,27,1992,2.3,3,0,0,0,0,2.9,0.25,-0.1,-0.04,7,30,23.3,59,11,39.0,34.6,19,36.8,35.7,33,1,3.0,2,0.87,11.1
ITA,GK,37,1983,3.7,11,0,0,1,0,8.6,0.48,-2.4,-0.64,11,30,36.7,103,17,16.5,24.4,34,38.2,30.4,48,1,2.1,6,1.62,14.5
ITA,GK,27,1992,32.0,44,7,0,5,2,47.5,0.27,5.5,0.17,186,554,33.6,882,140,47.4,37.1,275,49.5,38.4,540,19,3.5,18,0.56,12.6
ITA,GK,29,1991,0.3,0,0,0,0,0,0.0,0.02,0.0,0.06,5,9,55.6,7,0,71.4,43.0,4,100.0,66.5,6,0,0.0,0,0.0,9.0
CRO,GK,20,2000,3.7,6,0,0,1,0,4.8,0.37,-1.2,-0.33,16,56,28.6,79,9,45.6,34.1,22,90.9,61.2,37,3,8.1,5,1.36,16.8
ITA,GK,29,1991,34.0,42,6,1,6,2,36.6,0.24,-3.4,-0.1,191,679,28.1,694,77,63.5,43.1,266,89.5,58.0,444,9,2.0,20,0.61,12.4
ITA,GK,34,1985,0.5,1,1,0,0,0,1.3,0.13,0.3,0.5,0,0,,9,1,0.0,17.9,4,0.0,14.5,5,0,0.0,1,2.0,20.0
ROU,GK,23,1997,1.5,1,0,0,0,0,0.4,0.07,-0.6,-0.38,0,2,0.0,47,12,4.3,21.1,9,0.0,13.9,28,0,0.0,3,2.0,13.9
SVN,GK,36,1984,36.0,33,4,1,3,1,31.6,0.24,-0.4,-0.01,91,200,45.5,911,159,17.0,26.7,167,26.9,30.8,441,13,2.9,22,0.61,14.9
ITA,GK,30,1990,0.3,1,0,0,0,0,1.0,0.51,0.0,0.07,0,0,,9,0,0.0,20.9,2,0.0,14.0,2,0,0.0,1,3.91,28.0
ITA,GK,42,1978,8.0,5,2,1,0,0,5.5,0.13,0.5,0.07,25,62,40.3,245,45,20.4,27.4,61,19.7,25.0,122,1,0.8,9,1.13,15.2
POL,GK,30,1990,29.7,32,4,0,4,2,29.8,0.25,-0.2,-0.01,76,149,51.0,836,132,15.6,26.5,179,10.6,22.0,399,12,3.0,37,1.24,16.2
ESP,GK,37,1982,29.0,41,8,0,6,2,37.4,0.26,-1.6,-0.05,131,295,44.4,983,125,26.8,30.8,145,22.1,25.5,372,9,2.4,17,0.59,13.8
ALB,GK,25,1995,9.0,14,2,0,1,0,12.8,0.29,-1.2,-0.14,50,90,55.6,287,49,29.6,29.3,57,8.8,23.6,119,4,3.4,5,0.56,14.2
ROU,GK,34,1986,1.0,3,1,0,2,0,2.4,0.29,-0.6,-0.59,1,3,33.3,22,8,9.1,19.7,4,25.0,30.3,12,0,0.0,0,0.0,8.0
ITA,GK,21,1999,37.0,38,2,2,6,1,35.7,0.27,-1.3,-0.04,152,365,41.6,1021,148,27.3,29.0,207,41.5,33.7,556,29,5.2,43,1.16,14.8
ITA,GK,23,1997,22.0,29,2,1,3,1,26.2,0.31,-1.8,-0.08,35,77,45.5,510,96,12.2,24.9,93,16.1,23.3,241,8,3.3,13,0.59,13.1
COL,GK,31,1988,16.0,12,3,0,0,0,13.9,0.26,1.9,0.12,57,119,47.9,488,51,22.7,28.6,57,14.0,22.9,192,15,7.8,11,0.69,12.6
ITA,GK,29,1991,36.0,76,2,0,8,3,56.8,0.31,-16.2,-0.45,298,554,53.8,1165,182,38.1,34.4,274,40.1,36.5,619,16,2.6,24,0.67,13.9
ITA,GK,29,1991,2.0,7,1,0,2,0,4.4,0.35,-2.6,-1.28,17,30,56.7,41,6,53.7,37.5,11,72.7,49.4,27,0,0.0,0,0.0,7.5
ITA,GK,37,1983,12.8,19,2,1,0,0,15.8,0.24,-3.2,-0.27,46,106,43.4,309,63,26.9,30.9,83,27.7,28.6,162,1,0.6,23,1.95,18.3
BRA,GK,23,1997,5.0,7,0,0,1,0,5.6,0.22,-1.4,-0.27,17,51,33.3,122,31,32.8,34.1,30,36.7,37.2,50,4,8.0,2,0.4,11.5
ESP,GK,25,1994,20.2,29,3,1,4,3,25.4,0.27,-0.6,-0.03,59,166,35.5,562,107,22.6,29.2,101,38.6,35.6,174,7,4.0,30,1.49,19.2
IDN,GK,23,1997,37.0,54,7,1,6,1,51.9,0.25,-1.1,-0.03,213,543,39.2,986,180,38.2,35.0,259,64.1,45.3,563,12,2.1,34,0.92,14.8
CRO,GK,23,1997,1.0,0,0,0,0,0,0.2,0.22,0.2,0.22,1,5,20.0,29,7,13.8,25.6,5,20.0,33.6,17,0,0.0,1,1.0,11.0
ITA,GK,33,1987,37.0,56,4,0,4,1,53.6,0.27,-1.4,-0.04,118,319,37.0,1114,172,24.0,27.7,240,21.7,24.1,513,26,5.1,34,0.92,15.1
ITA,GK,39,1981,1.0,0,0,0,0,0,0.1,0.13,0.1,0.13,0,1,0.0,14,2,7.1,19.1,8,0.0,14.0,15,1,6.7,1,1.0,15.3
ITA,GK,26,1994,29.0,55,6,1,4,0,47.9,0.32,-7.1,-0.24,185,489,37.8,1244,132,33.4,34.2,157,46.5,42.0,298,9,3.0,47,1.62,17.3
NED,GK,29,1991,6.7,12,3,0,2,0,10.0,0.24,-2.0,-0.3,37,101,36.6,275,46,32.4,33.1,31,38.7,37.4,72,6,8.3,11,1.64,17.8
BRA,GK,38,1982,2.3,5,0,0,0,0,5.9,0.33,0.9,0.38,12,35,34.3,91,10,34.1,32.4,16,25.0,27.8,37,1,2.7,2,0.87,12.6
ITA,GK,33,1987,32.0,62,8,1,6,0,50.4,0.32,-11.6,-0.36,168,418,40.2,734,108,38.3,33.6,271,50.6,37.9,486,11,2.3,21,0.66,14.6
KVX,GK,32,1988,1.0,1,0,0,0,0,0.3,0.09,-0.7,-0.73,2,5,40.0,20,5,25.0,30.9,6,0.0,26.0,19,0,0.0,0,0.0,11.5
SRB,GK,23,1997,5.0,6,1,0,0,0,5.4,0.22,-0.6,-0.12,20,72,27.8,143,17,38.5,36.1,32,53.1,44.7,64,1,1.6,10,2.0,19.1
ARG,GK,26,1994,35.0,51,13,2,2,0,51.0,0.26,0.0,0.0,165,380,43.4,760,171,36.2,32.9,254,41.3,34.7,484,26,5.4,18,0.51,13.3
ITA,GK,18,2002,0.0,0,0,0,0,0,0.0,,0.0,0.0,1,1,100.0,1,0,100.0,44.0,1,0.0,15.0,0,0,,0,0.0,
BRA,GK,32,1988,2.0,5,0,0,0,0,3.7,0.62,-1.3,-0.64,7,13,53.8,31,6,25.8,29.4,9,55.6,43.1,23,0,0.0,0,0.0,11.0
ITA,GK,24,1996,1.0,2,1,0,0,0,1.7,0.19,-0.3,-0.26,8,17,47.1,19,5,52.6,39.1,9,77.8,48.6,26,0,0.0,0,0.0,5.7
ITA,GK,30,1991,0.4,1,0,0,0,0,1.0,0.52,0.0,0.11,2,6,33.3,12,0,41.7,37.8,4,25.0,39.3,3,0,0.0,0,0.0,18.0
ARG,GK,27,1994,32.6,42,3,0,2,3,37.5,0.3,-1.5,-0.05,147,348,42.2,744,170,27.4,31.3,208,69.2,49.7,308,28,9.1,39,1.2,16.5
ITA,GK,29,1992,5.0,5,2,0,1,0,5.6,0.2,0.6,0.12,8,33,24.2,107,33,14.0,26.0,28,64.3,47.0,45,1,2.2,4,0.8,13.9
ITA,GK,29,1992,2.0,2,0,0,0,0,2.7,0.3,0.7,0.37,5,19,26.3,35,6,40.0,33.0,13,38.5,32.1,24,2,8.3,0,0.0,5.5
ITA,GK,17,2004,0.0,0,0,0,0,0,0.2,0.19,0.2,5.78,0,4,0.0,3,0,100.0,61.0,1,100.0,60.0,3,0,0.0,0,0.0,
POL,GK,30,1991,36.0,53,8,1,3,2,53.3,0.26,2.3,0.06,193,459,42.0,956,164,39.1,34.0,294,28.9,26.6,498,27,5.4,14,0.39,11.3
ITA,GK,27,1994,35.0,63,6,4,10,1,52.4,0.28,-9.6,-0.27,321,703,45.7,890,112,52.9,39.4,316,73.4,48.2,484,22,4.5,33,0.94,15.0
SRB,GK,25,1996,3.0,5,1,1,0,0,6.4,0.26,1.4,0.46,22,62,35.5,72,10,54.2,41.5,28,82.1,51.1,42,1,2.4,1,0.33,13.8
ITA,GK,24,1996,38.0,70,5,1,5,6,65.2,0.28,1.2,0.03,133,386,34.5,1066,215,26.2,29.5,257,41.6,37.5,602,35,5.8,38,1.0,13.9
POL,GK,23,1997,6.2,8,1,0,1,0,8.1,0.24,0.1,0.02,43,97,44.3,304,23,26.3,30.8,39,43.6,40.2,61,2,3.3,20,3.24,22.3
ITA,GK,31,1990,31.8,43,2,0,2,2,31.6,0.29,-9.4,-0.29,197,464,42.5,1356,141,29.8,32.2,170,35.3,33.7,291,22,7.6,51,1.6,16.7
CRO,GK,23,1998,1.0,1,0,0,0,0,0.9,0.28,-0.1,-0.06,6,21,28.6,30,3,50.0,38.5,7,85.7,52.0,14,2,14.3,0,0.0,11.2
ITA,GK,34,1987,37.0,59,4,3,7,2,50.6,0.26,-6.4,-0.17,257,605,42.5,916,100,46.3,36.6,263,68.8,45.9,476,14,2.9,20,0.54,12.9
ITA,GK,30,1991,1.0,3,0,0,0,0,2.3,0.38,-0.7,-0.66,4,19,21.1,23,4,52.2,39.7,7,100.0,58.7,12,0,0.0,0,0.0,
CRO,GK,21,2000,3.0,6,1,1,1,0,5.7,0.33,-0.3,-0.1,15,26,57.7,53,9,34.0,33.1,15,53.3,37.1,22,1,4.5,1,0.33,11.3
ITA,GK,25,1996,34.0,50,2,1,7,2,40.6,0.28,-7.4,-0.22,189,577,32.8,733,120,57.2,42.3,231,68.4,46.5,495,21,4.2,23,0.68,13.1
ROU,GK,24,1997,1.0,2,0,0,0,0,1.6,0.53,-0.4,-0.41,4,8,50.0,19,2,36.8,33.3,4,25.0,29.8,4,0,0.0,1,1.0,16.0
SVN,GK,37,1984,37.0,30,4,0,3,1,33.2,0.24,4.2,0.11,139,301,46.2,1118,176,24.3,28.1,142,20.4,26.5,393,15,3.8,10,0.27,11.2
ITA,GK,31,1990,0.5,1,1,0,0,0,1.1,0.08,0.1,0.29,1,1,100.0,10,0,10.0,29.6,1,0.0,37.0,12,0,0.0,0,0.0,
ITA,GK,28,1992,4.5,7,0,0,1,1,5.4,0.35,-0.6,-0.14,13,34,38.2,108,17,25.9,29.6,26,23.1,29.2,77,1,1.3,4,0.89,12.6
POL,GK,31,1990,33.0,29,3,2,5,0,30.6,0.24,1.6,0.05,124,273,45.4,836,159,26.6,30.8,172,29.7,31.5,481,24,5.0,25,0.76,13.5
ESP,GK,38,1982,15.0,29,4,0,2,0,23.7,0.33,-5.3,-0.36,66,133,49.6,429,73,24.2,29.8,99,29.3,30.1,186,10,5.4,10,0.67,13.7
ALB,GK,26,1995,23.0,29,1,1,3,1,28.6,0.32,0.6,0.03,79,161,49.1,618,92,22.2,28.5,119,20.2,23.6,283,11,3.9,16,0.7,14.5
ROU,GK,35,1986,6.0,10,2,0,1,1,8.9,0.25,-0.1,-0.02,33,74,44.6,168,14,36.3,33.3,36,36.1,35.0,82,6,7.3,3,0.5,12.5
FRA,GK,26,1995,32.0,21,2,0,4,1,24.3,0.22,4.3,0.13,157,374,42.0,1004,164,31.5,33.0,149,38.9,36.5,347,25,7.2,45,1.41,16.8
ITA,GK,24,1997,6.9,6,0,0,0,0,6.4,0.22,0.4,0.06,13,29,44.8,160,45,12.5,25.1,36,25.0,26.5,89,3,3.4,5,0.73,14.6
COL,GK,32,1988,31.0,25,1,0,3,1,27.6,0.26,3.6,0.12,73,193,37.8,842,124,20.7,28.6,135,14.1,22.5,353,18,5.1,31,1.0,17.0
ITA,GK,21,1999,0.1,0,0,0,0,0,0.1,0.05,0.1,0.44,0,0,,1,1,0.0,15.0,0,,,1,0,0.0,0,0.0,
POR,GK,33,1988,38.0,43,5,2,5,2,42.2,0.25,1.2,0.03,174,393,44.3,854,141,37.7,34.2,222,32.0,31.5,393,12,3.1,26,0.68,14.3
ITA,GK,30,1991,15.5,24,3,0,1,0,24.6,0.28,0.6,0.04,166,320,51.9,433,45,54.7,40.8,130,63.8,46.4,235,10,4.3,13,0.84,16.0
SVN,GK,31,1990,21.5,49,3,0,4,2,40.8,0.28,-6.2,-0.29,147,339,43.4,392,76,52.6,39.5,182,73.1,49.9,329,12,3.6,14,0.65,12.7
ITA,GK,31,1990,1.0,5,0,0,1,0,2.7,0.34,-2.3,-2.32,11,17,64.7,19,4,36.8,36.4,12,83.3,50.8,16,0,0.0,0,0.0,4.0
IDN,GK,24,1997,28.4,48,1,1,4,1,43.1,0.32,-3.9,-0.14,203,472,43.0,786,120,41.7,36.3,212,67.9,47.6,418,22,5.3,25,0.88,13.5
ITA,GK,32,1988,0.1,1,1,0,0,0,1.0,0.0,0.0,-0.25,2,4,50.0,2,0,100.0,57.0,2,100.0,65.5,1,0,0.0,0,0.0,
ITA,GK,26,1995,9.5,14,1,0,0,1,11.8,0.2,-1.2,-0.13,63,150,42.0,284,42,34.5,33.2,74,70.3,45.0,164,7,4.3,2,0.21,10.2
ITA,GK,34,1987,36.9,63,8,0,10,1,56.0,0.28,-6.0,-0.16,186,431,43.2,1219,174,29.0,30.9,246,31.7,28.8,491,21,4.3,30,0.81,13.4
ITA,GK,22,1999,0.1,0,0,0,0,0,0.8,0.76,0.8,7.56,0,0,,0,0,,,1,0.0,22.0,1,0,0.0,0,0.0,
ITA,GK,40,1981,1.0,3,0,0,1,0,1.8,0.37,-1.2,-1.17,2,5,40.0,26,4,15.4,26.7,8,12.5,19.8,8,1,12.5,0,0.0,6.0
ITA,GK,27,1994,30.7,52,9,3,4,3,47.6,0.24,-1.4,-0.04,206,616,33.4,957,133,47.8,40.1,229,69.4,51.7,476,28,5.9,25,0.81,11.8
NED,GK,30,1991,7.0,19,1,0,3,0,13.1,0.26,-5.9,-0.84,20,69,29.0,182,41,26.9,30.7,54,37.0,37.4,95,2,2.1,6,0.86,16.4
BIH,GK,19,2002,0.3,0,0,0,0,0,0.0,,0.0,0.0,1,4,25.0,8,3,37.5,35.9,2,50.0,35.0,4,0,0.0,2,6.21,28.5
ALB,GK,32,1989,10.0,8,2,0,0,0,10.2,0.18,2.2,0.22,53,188,28.2,240,37,50.0,39.4,78,87.2,58.6,148,7,4.7,10,1.0,14.6
ITA,GK,21,2000,1.0,0,0,0,0,0,0.2,0.08,0.2,0.23,6,24,25.0,31,1,67.7,47.8,3,100.0,56.3,10,0,0.0,1,1.0,21.0
SRB,GK,24,1997,27.0,33,7,2,4,0,26.7,0.24,-6.3,-0.23,192,659,29.1,849,97,59.5,44.4,169,91.1,66.3,290,18,6.2,22,0.81,14.3
ITA,GK,35,1985,3.0,8,0,0,0,0,7.0,0.33,-1.0,-0.34,12,42,28.6,89,19,34.8,29.6,22,50.0,40.9,56,1,1.8,2,0.67,13.2
ITA,GK,30,1991,35.0,50,5,0,4,1,45.5,0.29,-3.5,-0.1,167,430,38.8,677,106,46.1,36.7,252,46.8,38.4,462,16,3.5,10,0.29,11.0
ITA,GK,26,1995,5.5,9,0,0,0,0,9.3,0.25,0.3,0.05,22,59,37.3,155,39,28.4,30.3,44,34.1,31.0,100,2,2.0,3,0.55,13.8
FIN,GK,36,1985,16.5,27,5,0,4,0,28.2,0.28,1.2,0.07,70,221,31.7,379,74,43.5,36.0,143,39.2,35.4,275,6,2.2,10,0.61,10.8
ARG,GK,34,1987,16.0,33,6,0,1,2,30.8,0.25,-0.2,-0.01,90,236,38.1,443,100,38.6,34.6,142,45.8,38.8,265,14,5.3,11,0.69,11.8
ITA,GK,31,1991,0.0,0,0,0,0,0,0.0,,0.0,0.0,0,1,0.0,3,0,0.0,17.3,1,100.0,65.0,1,0,0.0,0,0.0,
ARG,GK,28,1994,23.1,27,2,0,3,2,21.7,0.23,-3.3,-0.14,109,276,39.5,547,152,32.5,32.1,157,62.4,48.6,253,14,5.5,24,1.04,15.6
ITA,GK,30,1992,14.9,21,1,1,2,0,19.6,0.29,-1.4,-0.1,52,148,35.1,346,85,20.5,28.8,116,66.4,49.7,200,18,9.0,18,1.21,15.0
ITA,GK,30,1992,1.0,0,0,0,0,0,0.6,0.16,0.6,0.56,5,9,55.6,13,5,38.5,35.6,9,44.4,33.4,10,0,0.0,0,0.0,
POL,GK,31,1991,37.0,49,7,1,6,3,47.8,0.25,1.8,0.05,146,371,39.4,933,206,29.8,31.7,278,33.5,33.0,492,29,5.9,24,0.65,12.9
ROU,GK,25,1997,9.0,19,3,0,3,0,21.0,0.29,2.0,0.22,38,143,26.6,265,34,41.1,37.3,67,50.7,46.3,107,6,5.6,9,1.0,14.5
ITA,GK,22,2000,27.0,47,2,3,7,1,44.2,0.28,-1.8,-0.07,157,523,30.0,745,135,52.2,41.4,203,66.0,53.1,402,29,7.2,29,1.07,14.1
SEN,GK,25,1997,2.0,3,0,0,1,0,2.9,0.36,-0.1,-0.05,19,38,50.0,71,12,40.8,35.7,12,75.0,53.6,18,0,0.0,1,0.5,8.6
ITA,GK,25,1996,30.9,39,4,0,8,1,40.9,0.27,2.9,0.09,138,455,30.3,1106,151,33.5,33.8,170,50.0,42.9,606,34,5.6,22,0.71,11.5
KVX,GK,34,1988,0.1,1,0,0,0,0,0.2,0.25,-0.8,-9.69,0,0,,2,1,0.0,18.5,1,0.0,27.0,1,0,0.0,0,0.0,
ITA,GK,24,1997,7.0,9,0,0,2,0,7.5,0.31,-1.5,-0.22,25,75,33.3,153,39,32.0,32.7,75,34.7,34.3,134,5,3.7,4,0.57,11.6
ITA,GK,23,1999,5.0,3,1,0,0,0,3.4,0.22,0.4,0.09,24,70,34.3,167,27,34.7,33.3,28,42.9,38.1,29,1,3.4,3,0.6,13.8
ITA,GK,27,1995,3.0,2,0,0,1,0,1.7,0.21,-0.3,-0.1,13,38,34.2,115,17,27.0,32.4,11,63.6,49.3,24,1,4.2,0,0.0,9.3
ITA,GK,32,1990,29.0,38,6,0,3,2,33.1,0.28,-2.9,-0.1,155,375,41.3,871,113,32.7,33.2,198,45.5,40.5,271,12,4.4,55,1.9,18.4
ITA,GK,35,1987,1.0,0,0,0,0,0,1.0,0.19,1.0,0.96,6,16,37.5,30,9,40.0,37.7,8,50.0,41.8,12,0,0.0,2,2.0,26.3
ITA,GK,26,1996,37.0,59,1,1,4,3,49.6,0.27,-6.4,-0.17,360,775,46.5,905,124,62.9,44.3,284,72.5,52.1,496,26,5.2,55,1.49,15.3
ITA,GK,27,1995,1.0,0,0,0,0,0,0.8,0.19,0.8,0.75,6,30,20.0,21,0,81.0,57.3,13,100.0,69.8,19,1,5.3,1,1.0,12.0
ITA,GK,39,1983,0.3,0,0,0,0,0,0.5,0.26,0.5,1.77,1,7,14.3,15,3,26.7,33.5,5,60.0,52.0,7,0,0.0,0,0.0,
CMR,GK,26,1996,24.0,24,2,0,5,2,19.3,0.21,-2.7,-0.11,105,270,38.9,875,115,25.5,29.6,152,30.9,35.4,283,15,5.3,10,0.42,12.5
SVN,GK,38,1984,13.7,18,1,0,1,1,15.0,0.27,-2.0,-0.14,45,87,51.7,508,71,15.6,24.7,71,11.3,25.5,149,2,1.3,10,0.73,15.4
ITA,GK,29,1992,10.5,7,1,0,1,0,11.2,0.23,4.2,0.39,32,107,29.9,287,54,28.6,30.8,63,39.7,35.9,154,4,2.6,11,1.04,15.7
POL,GK,32,1990,27.5,26,3,0,5,0,26.0,0.25,0.0,0.0,128,270,47.4,634,128,32.2,33.5,153,43.1,38.3,389,11,2.8,21,0.76,14.7
ITA,GK,28,1994,37.9,30,1,0,5,1,31.4,0.25,2.4,0.06,158,373,42.4,1121,166,27.4,32.2,198,33.3,33.2,493,21,4.3,55,1.45,16.5
POR,GK,23,1999,0.1,,,,,,,,,,2,3,66.7,,1,,,,,,,,,,,19.0
ITA,GK,27,1995,38.0,46,5,2,6,3,43.5,0.24,0.5,0.01,194,721,26.9,876,143,56.8,42.1,282,79.1,53.5,534,23,4.3,42,1.11,14.1
ITA,GK,39,1983,0.0,0,0,0,0,0,0.0,,0.0,0.0,0,0,,3,0,0.0,27.0,1,0.0,15.0,0,0,,0,0.0,
ROU,GK,36,1986,16.0,22,2,2,4,1,16.8,0.25,-4.2,-0.26,94,195,48.2,473,75,32.1,32.9,83,51.8,41.8,195,9,4.6,13,0.81,14.4
FRA,GK,27,1995,22.0,21,2,1,2,0,20.3,0.28,-0.7,-0.03,76,193,39.4,725,119,22.8,29.8,85,32.9,35.1,221,15,6.8,32,1.46,17.8
ITA,GK,28,1994,1.0,3,0,0,0,0,1.7,0.35,-1.3,-1.33,2,4,50.0,25,4,12.0,22.6,6,16.7,33.3,7,0,0.0,2,2.0,25.7
ITA,GK,25,1997,37.0,49,3,1,4,1,48.7,0.28,0.7,0.02,166,476,34.9,1265,236,30.4,32.2,247,37.2,34.9,541,14,2.6,32,0.86,13.4
ITA,GK,25,1997,34.0,24,1,0,1,0,25.0,0.25,1.0,0.03,56,145,38.6,733,121,14.3,26.1,198,20.2,26.9,335,11,3.3,39,1.15,17.0
ITA,GK,27,1995,4.0,4,0,0,1,0,3.1,0.19,-0.9,-0.23,15,36,41.7,128,24,20.3,29.6,31,32.3,32.2,56,2,3.6,4,1.0,18.8
SRB,GK,22,1999,3.0,3,0,0,0,0,2.9,0.29,-0.1,-0.03,16,44,36.4,61,13,50.8,41.4,16,81.3,60.1,42,6,14.3,4,1.33,12.1
POR,GK,34,1988,35.0,35,2,1,4,1,27.6,0.23,-6.4,-0.18,135,328,41.2,644,121,37.6,33.6,240,35.8,34.8,402,16,4.0,25,0.71,13.8
MEX,GK,37,1985,20.0,33,3,1,6,0,34.8,0.3,1.8,0.09,135,430,31.4,556,45,53.6,40.9,200,66.0,47.3,311,11,3.5,10,0.5,12.3
ITA,GK,31,1991,17.0,27,4,0,0,0,30.3,0.27,3.3,0.2,76,274,27.7,490,84,40.6,35.9,154,48.7,41.1,222,16,7.2,13,0.76,14.2
ITA,GK,32,1990,1.0,2,0,0,0,0,1.9,0.49,-0.1,-0.05,7,15,46.7,19,3,57.9,37.9,5,80.0,56.2,7,1,14.3,0,0.0,6.0
IDN,GK,25,1997,25.0,39,5,0,4,2,32.3,0.21,-4.7,-0.19,159,441,36.1,714,104,45.8,39.1,200,57.0,44.2,356,24,6.7,23,0.92,13.9
SVN,GK,18,2003,4.0,9,1,0,3,0,8.0,0.26,-1.0,-0.25,35,78,44.9,99,15,41.4,35.1,43,86.0,56.3,60,0,0.0,2,0.5,12.3
ITA,GK,33,1988,9.0,23,2,0,3,0,17.9,0.26,-5.1,-0.57,49,145,33.8,226,45,42.5,35.6,99,49.5,37.6,155,10,6.5,1,0.11,10.5
ITA,GK,21,2001,1.0,3,0,0,0,0,2.8,0.4,-0.2,-0.22,0,12,0.0,42,2,28.6,30.7,8,0.0,18.3,14,0,0.0,0,0.0,10.0
ITA,GK,35,1987,35.0,55,3,0,5,2,38.5,0.31,-14.5,-0.41,176,436,40.4,1140,187,30.4,33.3,285,31.2,32.5,467,28,6.0,28,0.8,14.2
ITA,GK,41,1981,2.0,3,1,0,0,0,3.2,0.38,0.2,0.12,9,18,50.0,61,10,21.3,29.7,16,31.3,28.3,28,2,7.1,0,0.0,9.0
POL,GK,24,1997,32.7,54,4,1,7,3,46.1,0.25,-4.9,-0.15,151,482,31.3,975,159,37.6,34.6,196,58.7,46.5,472,13,2.8,32,0.98,14.1
ITA,GK,39,1983,0.7,2,0,0,0,0,1.5,0.48,-0.5,-0.74,2,4,50.0,10,2,10.0,24.3,8,37.5,32.4,8,0,0.0,1,1.36,22.0
NED,GK,31,1991,3.7,4,1,0,1,0,2.8,0.14,-1.2,-0.31,25,78,32.1,110,13,54.5,39.0,23,78.3,58.4,62,4,6.5,6,1.61,14.7
BIH,GK,20,2002,0.8,2,0,0,0,0,1.7,0.55,-0.3,-0.42,7,21,33.3,23,3,47.8,35.1,13,76.9,51.1,24,1,4.2,2,2.47,17.0
SRB,GK,25,1997,38.0,41,5,0,6,0,35.8,0.23,-5.2,-0.14,285,939,30.4,1506,185,45.0,39.7,286,91.3,70.0,469,36,7.7,70,1.84,16.2
ITA,GK,31,1991,38.0,48,6,2,3,2,48.7,0.31,2.7,0.07,144,380,37.9,872,142,31.9,32.0,302,33.8,34.1,547,13,2.4,21,0.55,12.2
ITA,GK,32,1991,0.1,0,0,0,0,0,0.8,0.75,0.8,13.52,0,1,0.0,1,1,0.0,14.0,1,100.0,67.0,2,0,0.0,0,0.0,
ARG,GK,29,1994,11.0,12,2,0,2,1,9.8,0.23,-1.2,-0.11,40,120,33.3,299,70,24.4,29.6,70,67.1,48.6,110,10,9.1,16,1.45,16.7
ITA,GK,23,2000,26.9,30,4,0,2,0,29.3,0.22,-0.7,-0.03,121,338,35.8,680,142,30.6,33.8,193,67.4,51.7,332,20,6.0,39,1.45,14.7
ITA,GK,23,1999,5.9,3,0,1,0,0,5.5,0.25,2.5,0.43,14,49,28.6,172,23,18.0,25.4,34,52.9,41.0,73,1,1.4,4,0.67,17.1
ITA,GK,19,2004,0.1,0,0,0,0,0,0.0,0.02,0.0,0.36,1,2,50.0,1,0,100.0,47.0,2,50.0,53.0,0,0,,0,0.0,
POL,GK,32,1991,32.0,29,3,1,3,1,26.6,0.23,-1.4,-0.05,103,297,34.7,829,136,26.3,29.6,188,42.0,38.7,432,12,2.8,15,0.47,12.2
SRB,GK,27,1996,7.0,12,0,0,1,1,10.1,0.38,-0.9,-0.13,41,91,45.1,156,31,35.9,37.0,66,53.0,43.8,98,6,6.1,4,0.57,11.2
