nation,pos,age,born,Playing Time,Playing Time,Playing Time,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks
,,,,MP,Starts,Min,,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
GER,GK,23,1996,1,1,90,1.0,2,2.0,4,2,50.0,0,1,0,0,0.0,0,0,0,0,
GER,GK,34,1986,33,33,2970,33.0,42,1.27,123,80,66.7,24,5,4,9,27.3,3,1,1,1,50.0
SUI,GK,32,1987,16,16,1395,15.5,16,1.03,44,29,68.2,11,2,3,7,43.8,2,2,0,0,0.0
SUI,GK,29,1990,19,18,1665,18.5,30,1.62,92,62,71.7,9,2,7,4,22.2,4,4,0,0,0.0
GER,GK,18,2002,1,1,90,1.0,1,1.0,6,5,83.3,1,0,0,0,0.0,0,0,0,0,
GER,GK,30,1990,33,33,2970,33.0,52,1.58,150,99,68.0,15,12,6,4,12.1,6,4,1,1,20.0
GER,GK,22,1997,31,31,2790,31.0,46,1.48,157,112,72.0,11,8,12,6,19.4,3,2,1,0,33.3
NED,GK,27,1993,3,3,270,3.0,6,2.0,18,12,77.8,1,1,1,0,0.0,3,2,0,1,0.0
GER,GK,32,1988,4,3,344,3.8,6,1.57,19,13,68.4,1,1,1,1,33.3,0,0,0,0,
SUI,GK,31,1988,31,31,2712,30.1,50,1.66,132,82,66.7,12,9,10,6,19.4,6,6,0,0,0.0
GER,GK,28,1992,26,26,2340,26.0,39,1.5,108,69,69.4,6,10,10,8,30.8,6,6,0,0,0.0
NOR,GK,35,1984,8,8,720,8.0,13,1.62,33,20,63.6,2,1,5,1,12.5,2,1,1,0,50.0
GER,GK,30,1990,31,31,2790,31.0,51,1.65,132,81,65.9,10,8,13,6,19.4,9,6,2,1,25.0
GER,GK,35,1985,3,3,270,3.0,3,1.0,13,10,76.9,1,2,0,0,0.0,0,0,0,0,
GER,GK,31,1989,1,0,51,0.6,1,1.76,3,2,100.0,0,0,0,0,,1,1,0,0,0.0
GER,GK,27,1993,34,34,3009,33.4,59,1.76,155,95,66.5,8,9,17,5,14.7,8,7,1,0,12.5
GER,GK,21,1999,4,4,360,4.0,7,1.75,21,14,66.7,1,0,3,1,25.0,0,0,0,0,
FIN,GK,30,1989,29,29,2565,28.5,29,1.02,83,55,66.3,13,9,7,8,27.6,2,1,1,0,50.0
GER,GK,27,1993,2,1,135,1.5,3,2.0,8,5,62.5,0,1,0,0,0.0,0,0,0,0,
GER,GK,22,1998,3,3,270,3.0,10,3.33,20,10,55.0,1,0,2,0,0.0,1,1,0,0,0.0
GER,GK,25,1994,31,31,2790,31.0,46,1.48,142,97,71.1,9,9,13,5,16.1,6,5,0,1,0.0
ESP,GK,22,1998,1,1,90,1.0,2,2.0,4,2,50.0,0,0,1,0,0.0,0,0,0,0,
HUN,GK,30,1990,33,33,2970,33.0,30,0.91,80,50,66.3,19,8,6,15,45.5,3,3,0,0,0.0
DEN,GK,27,1992,11,10,945,10.5,24,2.29,67,45,70.1,0,4,6,1,10.0,4,4,0,0,0.0
AUT,GK,35,1985,3,2,239,2.7,12,4.52,24,13,50.0,0,0,2,0,0.0,0,0,0,0,
GER,GK,31,1988,22,22,1876,20.8,50,2.4,143,94,67.1,3,3,16,3,13.6,4,3,1,0,25.0
GER,GK,25,1995,1,1,90,1.0,1,1.0,9,8,88.9,1,0,0,0,0.0,0,0,0,0,
SUI,GK,22,1997,33,33,2970,33.0,54,1.64,157,102,68.8,11,9,13,5,15.2,7,5,2,0,28.6
GER,GK,33,1987,31,31,2768,30.8,42,1.37,132,89,71.2,11,12,8,5,16.1,5,4,1,0,20.0
GER,GK,27,1993,4,3,292,3.2,1,0.31,4,4,75.0,1,2,0,2,66.7,0,0,0,0,
CZE,GK,28,1992,34,34,3060,34.0,57,1.68,157,101,66.2,7,10,17,6,17.6,6,4,2,0,33.3
BEL,GK,28,1992,32,32,2880,32.0,33,1.03,108,74,72.2,17,9,6,14,43.8,5,3,2,0,40.0
AUT,GK,32,1987,2,2,180,2.0,4,2.0,14,10,71.4,0,1,1,0,0.0,0,0,0,0,
GER,GK,28,1992,33,33,2970,33.0,53,1.61,176,125,73.9,4,13,16,6,18.2,7,7,0,0,0.0
GRE,GK,27,1994,1,1,90,1.0,0,0.0,4,4,100.0,1,0,0,1,100.0,0,0,0,0,
POL,GK,33,1987,34,34,3060,34.0,56,1.65,156,102,67.3,10,8,16,9,26.5,5,5,0,0,0.0
GER,GK,21,2000,1,0,10,0.1,0,0.0,0,0,,0,0,0,0,,0,0,0,0,
GER,GK,35,1986,28,28,2510,27.9,26,0.93,89,63,71.9,22,4,2,10,35.7,1,1,0,0,0.0
GER,GK,32,1988,6,6,540,6.0,11,1.83,23,13,56.5,2,1,3,1,16.7,1,1,0,0,0.0
GER,GK,32,1988,31,31,2790,31.0,45,1.45,155,112,72.9,10,6,15,7,22.6,6,3,2,1,40.0
GER,GK,33,1987,3,3,270,3.0,7,2.33,21,14,76.2,2,0,1,0,0.0,2,2,0,0,0.0
SUI,GK,23,1997,29,29,2565,28.5,39,1.37,110,73,67.3,20,3,6,7,24.1,3,3,0,0,0.0
SUI,GK,33,1987,5,4,405,4.5,12,2.67,25,13,60.0,1,0,3,0,0.0,2,2,0,0,0.0
SUI,GK,30,1990,1,1,90,1.0,1,1.0,1,0,100.0,1,0,0,0,0.0,1,1,0,0,0.0
GER,GK,19,2001,1,1,90,1.0,1,1.0,4,3,75.0,0,1,0,0,0.0,0,0,0,0,
GER,GK,32,1988,1,1,90,1.0,2,2.0,4,2,50.0,0,0,1,0,0.0,0,0,0,0,
GER,GK,31,1990,32,32,2880,32.0,46,1.44,157,112,73.2,10,11,11,5,15.6,4,4,0,0,0.0
GER,GK,27,1993,2,2,180,2.0,7,3.5,12,5,41.7,0,1,1,0,0.0,0,0,0,0,
NED,GK,28,1993,32,32,2880,32.0,39,1.22,141,103,73.8,15,9,8,10,31.3,2,2,0,0,0.0
GER,GK,33,1988,1,1,90,1.0,1,1.0,3,2,66.7,0,1,0,0,0.0,0,0,0,0,
SUI,GK,32,1988,33,33,2970,33.0,60,1.82,182,120,68.7,12,8,13,5,15.2,5,3,2,0,40.0
SWE,GK,28,1993,12,12,1080,12.0,24,2.0,62,39,62.9,1,5,6,3,25.0,1,1,0,0,0.0
GER,GK,25,1996,8,8,720,8.0,30,3.75,54,26,48.1,0,0,8,0,0.0,2,2,0,0,0.0
GER,GK,31,1989,14,14,1260,14.0,28,2.0,72,46,65.3,2,4,8,3,21.4,3,3,0,0,0.0
GER,GK,29,1992,25,25,2175,24.2,51,2.11,123,72,62.6,7,5,13,4,16.0,5,5,0,0,0.0
POL,GK,20,2001,10,9,885,9.8,20,2.03,49,29,65.3,2,1,6,2,22.2,3,3,0,0,0.0
GER,GK,31,1990,33,33,2970,33.0,57,1.73,155,98,64.5,12,7,14,8,24.2,4,2,1,1,33.3
GER,GK,36,1985,1,1,90,1.0,3,3.0,7,4,57.1,1,0,0,0,0.0,0,0,0,0,
GER,GK,26,1995,21,21,1890,21.0,28,1.33,98,70,71.4,10,4,7,3,14.3,1,0,1,0,100.0
GER,GK,28,1993,13,13,1170,13.0,21,1.62,56,36,62.5,4,6,3,1,7.7,0,0,0,0,
RUS,GK,29,1991,1,1,90,1.0,1,1.0,2,1,50.0,1,0,0,0,0.0,0,0,0,0,
GER,GK,22,1999,1,1,90,1.0,2,2.0,6,5,66.7,1,0,0,0,0.0,0,0,0,0,
FIN,GK,31,1989,32,32,2880,32.0,44,1.37,154,109,72.7,17,7,8,8,25.0,4,2,1,1,33.3
GER,GK,23,1998,2,2,180,2.0,3,1.5,5,2,60.0,1,1,0,0,0.0,1,1,0,0,0.0
GER,GK,26,1994,32,32,2880,32.0,42,1.31,120,78,68.3,12,6,14,10,31.3,5,4,1,0,20.0
ESP,GK,23,1998,1,1,90,1.0,3,3.0,4,1,25.0,0,0,1,0,0.0,0,0,0,0,
GER,GK,35,1985,1,0,3,0.0,0,0.0,0,0,,0,0,0,1,,0,0,0,0,
HUN,GK,31,1990,33,33,2967,33.0,34,1.03,111,78,72.1,17,7,9,9,27.3,3,3,0,0,0.0
GER,GK,26,1995,4,4,360,4.0,7,1.75,24,17,70.8,0,2,2,0,0.0,0,0,0,0,
GER,GK,23,1997,30,30,2700,30.0,52,1.73,139,88,65.5,7,10,13,4,13.3,4,4,0,0,0.0
GER,GK,34,1987,27,27,2430,27.0,39,1.44,104,68,64.4,11,7,9,6,22.2,2,2,0,0,0.0
DEN,GK,28,1992,7,7,630,7.0,5,0.71,18,14,72.2,5,2,0,2,28.6,0,0,0,0,
BEL,GK,29,1992,28,28,2520,28.0,40,1.43,118,76,68.6,11,6,11,10,35.7,6,3,2,1,40.0
AUT,GK,33,1987,6,6,540,6.0,14,2.33,38,25,65.8,1,0,5,1,16.7,1,1,0,0,0.0
POL,GK,34,1987,23,23,2070,23.0,41,1.78,136,93,70.6,8,3,12,5,21.7,4,1,2,1,66.7
CZE,GK,29,1992,11,11,990,11.0,22,2.0,65,45,66.2,1,4,6,1,9.1,0,0,0,0,
GER,GK,36,1986,12,12,1080,12.0,11,0.92,44,33,79.5,7,4,1,4,33.3,2,2,0,0,0.0
GER,GK,33,1988,3,3,270,3.0,2,0.67,8,5,75.0,3,0,0,2,66.7,1,0,1,0,100.0
SUI,GK,33,1988,19,19,1710,19.0,25,1.32,55,30,67.3,11,4,4,5,26.3,7,7,0,0,0.0
GER,GK,33,1988,34,34,3060,34.0,72,2.12,200,128,68.0,10,5,19,5,14.7,14,8,3,3,27.3
GER,GK,31,1991,7,7,630,7.0,12,1.71,32,20,62.5,3,2,2,1,14.3,0,0,0,0,
SUI,GK,24,1997,27,27,2430,27.0,32,1.19,119,88,73.9,19,3,5,11,40.7,1,1,0,0,0.0
GER,GK,20,2001,1,1,90,1.0,1,1.0,5,4,80.0,0,1,0,0,0.0,0,0,0,0,
GER,GK,32,1990,33,33,2970,33.0,51,1.55,130,80,62.3,13,10,10,6,18.2,2,2,0,0,0.0
NED,GK,29,1993,34,34,3060,34.0,44,1.29,150,106,74.0,17,8,9,13,38.2,6,5,0,1,0.0
GER,GK,20,2001,4,4,360,4.0,11,2.75,31,20,67.7,1,1,2,0,0.0,1,1,0,0,0.0
SUI,GK,28,1994,15,15,1290,14.3,18,1.26,56,38,71.4,5,4,6,5,33.3,2,2,0,0,0.0
GER,GK,34,1988,6,5,510,5.7,12,2.12,33,21,66.7,1,1,3,1,20.0,1,1,0,0,0.0
SUI,GK,33,1988,10,10,900,10.0,14,1.4,60,47,80.0,4,4,2,3,30.0,2,2,0,0,0.0
DEN,GK,23,1999,33,33,2970,33.0,68,2.06,163,94,61.3,6,8,19,3,9.1,6,5,1,0,16.7
GER,GK,19,2003,1,1,90,1.0,1,1.0,7,6,85.7,1,0,0,0,0.0,0,0,0,0,
GER,GK,32,1990,34,34,3060,34.0,57,1.68,161,105,65.8,10,6,18,5,14.7,3,2,0,1,0.0
GER,GK,27,1995,34,34,3060,34.0,54,1.59,129,77,61.2,10,12,12,6,17.6,5,4,1,0,20.0
RUS,GK,30,1991,1,1,90,1.0,2,2.0,4,2,50.0,0,0,1,0,0.0,0,0,0,0,
FIN,GK,32,1989,33,33,2969,33.0,47,1.42,142,97,71.8,14,8,11,9,27.3,7,7,0,0,0.0
GER,GK,24,1998,8,8,720,8.0,16,2.0,44,26,65.9,3,2,3,0,0.0,3,1,2,0,66.7
GER,GK,27,1994,26,26,2340,26.0,39,1.5,109,69,67.0,9,8,9,7,26.9,5,3,1,1,25.0
GER,GK,31,1991,26,26,2340,26.0,29,1.12,75,45,69.3,16,4,6,7,26.9,7,6,1,0,14.3
HUN,GK,32,1990,6,6,540,6.0,10,1.67,26,17,65.4,2,2,2,2,33.3,1,1,0,0,0.0
NOR,GK,31,1990,2,2,180,2.0,2,1.0,5,4,60.0,2,0,0,1,50.0,0,0,0,0,
GER,GK,30,1992,23,22,2035,22.6,58,2.57,138,80,60.9,4,4,14,2,9.1,4,4,0,0,0.0
GER,GK,33,1988,12,12,1025,11.4,13,1.14,55,43,78.2,3,6,3,5,41.7,2,1,0,1,0.0
GER,GK,27,1995,15,15,1350,15.0,23,1.53,59,37,69.5,4,5,6,1,6.7,5,5,0,0,0.0
GER,GK,24,1997,19,19,1710,19.0,34,1.79,87,53,62.1,3,7,9,1,5.3,1,1,0,0,0.0
DEN,GK,29,1992,29,29,2610,29.0,27,0.93,119,92,81.5,16,7,6,11,37.9,5,5,0,0,0.0
GER,GK,23,1999,5,5,450,5.0,11,2.2,25,14,64.0,2,1,2,2,40.0,2,2,0,0,0.0
CZE,GK,30,1992,33,33,2908,32.3,61,1.89,170,110,65.3,10,5,18,4,12.1,3,2,1,0,33.3
GER,GK,27,1995,2,1,152,1.7,3,1.78,14,11,78.6,0,1,0,0,0.0,0,0,0,0,
BEL,GK,30,1992,34,34,3060,34.0,48,1.41,147,101,70.1,13,10,11,12,35.3,7,4,1,2,20.0
GER,GK,25,1998,31,31,2790,31.0,52,1.68,158,106,71.5,10,9,12,3,9.7,10,7,2,1,22.2
CZE,GK,30,1992,3,3,270,3.0,8,2.67,25,17,68.0,0,0,3,0,0.0,0,0,0,0,
ISR,GK,23,2000,1,0,17,0.2,0,0.0,0,0,,0,0,0,1,,0,0,0,0,
GER,GK,37,1986,23,23,2053,22.8,33,1.45,93,59,66.7,16,1,6,6,26.1,3,2,1,0,33.3
GER,GK,34,1988,11,11,990,11.0,12,1.09,31,19,64.5,7,2,2,4,36.4,1,1,0,0,0.0
GER,GK,36,1987,1,1,90,1.0,4,4.0,4,1,0.0,0,0,1,0,0.0,0,0,0,0,
GER,GK,34,1988,33,33,2970,33.0,70,2.12,185,116,67.0,7,12,14,4,12.1,11,9,2,0,18.2
GER,GK,28,1995,3,3,270,3.0,10,3.33,17,7,41.2,0,1,2,0,0.0,0,0,0,0,
GER,GK,30,1993,31,31,2790,31.0,76,2.45,198,123,62.1,3,7,21,3,9.7,2,1,1,0,50.0
GER,GK,32,1991,8,7,695,7.7,9,1.17,27,19,66.7,4,1,2,3,42.9,0,0,0,0,
SUI,GK,25,1997,27,27,2365,26.3,34,1.29,118,84,75.4,14,8,5,7,25.9,6,5,1,0,16.7
GER,GK,34,1988,2,2,180,2.0,2,1.0,9,7,77.8,1,1,0,0,0.0,0,0,0,0,
GER,GK,33,1990,32,32,2880,32.0,48,1.5,137,87,71.5,10,13,9,7,21.9,11,9,2,0,18.2
GER,GK,21,2002,34,34,3060,34.0,58,1.71,158,99,65.2,11,9,14,10,29.4,5,3,2,0,40.0
SUI,GK,29,1994,7,7,630,7.0,18,2.57,47,29,66.0,1,2,4,0,0.0,2,2,0,0,0.0
GER,GK,25,1997,27,27,2430,27.0,49,1.81,160,111,71.9,6,11,10,4,14.8,4,4,0,0,0.0
GER,GK,32,1991,34,34,3060,34.0,55,1.62,174,121,72.4,10,12,12,6,17.6,10,7,1,2,12.5
GER,GK,33,1990,34,34,3060,34.0,66,1.94,211,143,69.7,13,7,14,2,5.9,5,2,3,0,60.0
GER,GK,28,1995,34,34,3060,34.0,60,1.76,168,108,66.1,5,12,17,4,11.8,3,3,0,0,0.0
FIN,GK,33,1989,33,33,2970,33.0,24,0.73,102,78,76.5,28,5,0,15,45.5,0,0,0,0,
CZE,GK,23,2000,1,1,90,1.0,0,0.0,3,3,100.0,0,1,0,1,100.0,0,0,0,0,
GER,GK,32,1991,4,4,360,4.0,3,0.75,17,14,82.4,0,2,2,1,25.0,0,0,0,0,
GER,GK,28,1994,30,30,2700,30.0,48,1.6,128,81,64.8,7,12,11,7,23.3,4,3,0,1,0.0
GER,GK,32,1991,21,21,1890,21.0,30,1.43,76,46,65.8,10,4,7,5,23.8,4,4,0,0,0.0
HUN,GK,33,1990,13,13,1170,13.0,9,0.69,41,33,78.0,9,4,0,5,38.5,1,0,0,1,
GER,GK,26,1996,30,30,2700,30.0,36,1.2,107,74,69.2,20,3,7,11,36.7,3,3,0,0,0.0
GER,GK,28,1995,4,4,360,4.0,3,0.75,22,19,86.4,3,1,0,1,25.0,0,0,0,0,
GER,GK,31,1992,1,1,90,1.0,2,2.0,6,4,66.7,0,0,1,0,0.0,0,0,0,0,
DEN,GK,30,1992,33,33,2970,33.0,56,1.7,162,105,68.5,9,6,18,7,21.2,7,5,2,0,28.6
CZE,GK,31,1992,7,7,630,7.0,17,2.43,38,21,60.5,2,0,5,1,14.3,2,2,0,0,0.0
GER,GK,28,1995,27,27,2430,27.0,37,1.37,128,92,74.2,9,9,9,6,22.2,4,4,0,0,0.0
BEL,GK,31,1992,25,25,2250,25.0,39,1.56,115,78,67.8,8,6,11,4,16.0,3,2,0,1,0.0
AUT,GK,35,1987,9,9,810,9.0,17,1.89,36,20,52.8,2,1,6,2,22.2,0,0,0,0,
ALB,GK,27,1989,26,26,2340,26.0,26,1.0,77,51,70.1,15,7,4,11,42.3,3,3,0,0,0.0
ITA,GK,24,1992,8,8,720,8.0,14,1.75,33,19,60.6,3,2,3,2,25.0,1,1,0,0,0.0
ITA,GK,21,1995,4,4,360,4.0,1,0.25,12,11,91.7,3,1,0,3,75.0,0,0,0,0,
BRA,GK,32,1983,18,17,1541,17.1,26,1.52,88,62,73.9,4,4,9,1,5.9,3,3,0,0,0.0
ITA,GK,33,1983,21,21,1879,20.9,32,1.53,100,68,69.0,7,4,10,8,38.1,3,1,1,1,50.0
BRA,GK,23,1992,3,3,270,3.0,5,1.67,13,8,69.2,1,1,1,0,0.0,1,1,0,0,0.0
ITA,GK,18,1998,1,1,90,1.0,1,1.0,7,6,100.0,1,0,0,0,0.0,2,1,1,0,50.0
ITA,GK,39,1977,15,15,1256,14.0,36,2.58,89,53,62.9,3,2,9,0,0.0,4,3,0,1,0.0
BRA,GK,34,1982,21,19,1802,20.0,32,1.6,105,73,71.4,9,2,9,3,15.8,5,2,2,1,50.0
ITA,GK,26,1990,4,4,360,4.0,9,2.25,30,21,70.0,0,0,4,0,0.0,0,0,0,0,
ITA,GK,37,1979,34,34,3060,34.0,52,1.53,158,106,69.6,12,7,15,10,29.4,6,4,0,2,0.0
ITA,GK,33,1983,36,36,3236,36.0,54,1.5,203,149,76.4,9,7,20,4,11.1,9,6,2,1,25.0
ITA,GK,24,1992,3,2,184,2.0,4,1.96,13,9,69.2,0,0,2,0,0.0,1,0,0,1,
ITA,GK,26,1989,3,3,270,3.0,5,1.67,13,8,61.5,0,0,3,0,0.0,0,0,0,0,
POL,GK,25,1991,35,35,3150,35.0,56,1.6,199,143,74.4,8,8,19,10,28.6,9,5,3,1,37.5
POL,GK,18,1997,1,1,90,1.0,2,2.0,6,4,66.7,0,1,0,0,0.0,0,0,0,0,
ROU,GK,30,1986,35,35,3099,34.4,51,1.48,156,105,69.9,14,10,10,11,31.4,5,4,0,1,0.0
ITA,GK,21,1995,1,0,51,0.6,0,0.0,2,2,100.0,1,0,0,0,,0,0,0,0,
ITA,GK,24,1992,2,2,180,2.0,4,2.0,6,2,50.0,1,0,1,0,0.0,1,1,0,0,0.0
ITA,GK,26,1989,21,20,1883,20.9,37,1.77,95,58,62.1,5,4,12,2,10.0,3,1,1,1,50.0
ITA,GK,23,1992,16,16,1357,15.1,19,1.26,55,36,69.1,4,5,6,6,37.5,4,2,1,1,33.3
BRA,GK,33,1982,2,2,180,2.0,8,4.0,16,8,56.3,0,0,2,0,0.0,1,1,0,0,0.0
ARG,GK,32,1984,1,1,90,1.0,2,2.0,4,2,50.0,1,0,0,0,0.0,0,0,0,0,
SVN,GK,32,1984,37,37,3330,37.0,47,1.27,157,110,73.2,18,5,14,9,24.3,6,5,1,0,16.7
IDN,GK,19,1997,1,1,90,1.0,1,1.0,2,1,50.0,1,0,0,0,0.0,0,0,0,0,
ITA,GK,38,1978,30,30,2655,29.5,24,0.81,91,67,74.7,22,3,5,12,40.0,1,1,0,0,0.0
BRA,GK,27,1989,8,7,675,7.5,2,0.27,15,13,86.7,6,1,0,5,71.4,0,0,0,0,
ITA,GK,33,1983,17,17,1485,16.5,22,1.33,76,54,72.4,9,4,4,2,11.8,5,1,2,2,66.7
CRO,GK,29,1987,1,1,90,1.0,3,3.0,6,3,50.0,0,0,1,0,0.0,0,0,0,0,
ALB,GK,21,1995,21,20,1845,20.5,26,1.27,86,60,74.4,12,3,5,6,30.0,4,4,0,0,0.0
ITA,GK,17,1999,38,38,3420,38.0,45,1.18,189,144,78.8,18,9,11,12,31.6,10,5,2,3,28.6
ESP,GK,33,1982,37,37,3330,37.0,38,1.03,124,86,71.8,26,7,4,12,32.4,4,3,1,0,25.0
BRA,GK,26,1990,1,1,90,1.0,0,0.0,1,1,100.0,0,1,0,1,100.0,0,0,0,0,
ITA,"FW,GK",21,1994,9,9,810,9.0,14,1.56,44,30,70.5,3,2,4,3,33.3,1,1,0,0,0.0
CRO,GK,20,1996,29,29,2610,29.0,63,2.17,166,103,65.1,3,6,20,2,6.9,5,5,0,0,0.0
ARG,GK,38,1977,29,29,2610,29.0,68,2.34,169,101,62.7,1,6,22,2,6.9,5,5,0,0,0.0
ITA,GK,26,1990,9,9,810,9.0,15,1.67,42,27,66.7,1,3,5,1,11.1,1,1,0,0,0.0
POL,GK,26,1990,38,38,3420,38.0,38,1.0,154,116,76.6,28,3,7,14,36.8,4,2,2,0,50.0
ITA,GK,35,1981,21,21,1890,21.0,35,1.67,112,77,72.3,5,7,9,4,19.0,5,4,1,0,20.0
ITA,GK,30,1985,17,17,1530,17.0,20,1.18,68,48,73.5,7,5,5,3,17.6,3,2,1,0,33.3
ITA,GK,29,1987,37,37,3330,37.0,56,1.51,191,135,73.3,14,7,16,7,18.9,8,5,2,1,28.6
ITA,GK,30,1985,2,2,180,2.0,4,2.0,7,3,57.1,1,0,1,0,0.0,1,1,0,0,0.0
ENG,GK,29,1987,36,36,3240,36.0,62,1.72,166,104,66.3,12,14,10,5,13.9,6,6,0,0,0.0
GRE,GK,31,1985,33,33,2958,32.9,45,1.37,129,84,70.5,11,7,15,7,21.2,8,7,0,1,0.0
ITA,GK,20,1996,6,5,462,5.1,11,2.14,28,17,64.3,1,2,2,0,0.0,1,1,0,0,0.0
ALB,GK,28,1989,31,31,2790,31.0,34,1.1,99,64,66.7,13,10,8,8,25.8,2,1,1,0,50.0
ITA,GK,26,1991,1,0,8,0.1,1,11.25,2,1,50.0,0,0,0,0,,0,0,0,0,
ITA,GK,22,1995,7,7,622,6.9,4,0.58,17,13,76.5,3,2,2,3,42.9,0,0,0,0,
ITA,GK,25,1991,13,11,1126,12.5,31,2.48,70,39,58.6,1,2,8,1,9.1,4,2,0,2,0.0
ITA,GK,36,1981,14,14,1179,13.1,26,1.98,65,39,67.7,3,1,10,2,14.3,6,5,0,1,0.0
SVN,GK,27,1990,13,13,1113,12.4,27,2.18,74,49,67.6,2,0,11,1,7.7,3,3,0,0,0.0
BRA,GK,33,1983,4,4,360,4.0,5,1.25,17,12,76.5,1,0,3,1,25.0,1,1,0,0,0.0
ITA,GK,34,1983,33,33,2970,33.0,46,1.39,144,101,69.4,10,5,18,7,21.2,3,2,0,1,0.0
DOM,GK,25,1992,1,1,90,1.0,1,1.0,5,4,80.0,0,1,0,0,0.0,0,0,0,0,
ITA,GK,23,1994,29,29,2536,28.2,47,1.67,130,82,68.5,7,5,17,7,24.1,10,6,2,2,25.0
ITA,GK,19,1998,1,1,90,1.0,3,3.0,3,0,33.3,0,0,1,0,0.0,1,1,0,0,0.0
BRA,GK,35,1982,10,8,794,8.8,11,1.25,39,28,74.4,4,1,3,1,12.5,1,1,0,0,0.0
ITA,GK,38,1979,38,38,3420,38.0,59,1.55,187,129,70.6,10,10,18,7,18.4,7,4,3,0,42.9
ITA,GK,34,1983,38,38,3420,38.0,66,1.74,200,133,70.0,9,8,21,5,13.2,8,6,1,1,14.3
POL,GK,19,1997,3,1,217,2.4,8,3.32,17,9,52.9,0,0,1,0,0.0,0,0,0,0,
ITA,GK,25,1992,37,37,3202,35.6,38,1.07,131,92,72.5,16,9,12,14,37.8,3,2,1,0,33.3
ITA,GK,27,1989,1,1,90,1.0,1,1.0,3,2,66.7,0,0,1,0,0.0,0,0,0,0,
ITA,GK,24,1992,37,37,3330,37.0,42,1.14,167,127,77.2,11,8,18,12,32.4,4,4,0,0,0.0
ITA,GK,26,1991,2,2,180,2.0,7,3.5,25,18,72.0,0,0,2,0,0.0,0,0,0,0,
BRA,GK,29,1988,36,36,3240,36.0,71,1.97,233,162,72.1,7,4,25,7,19.4,8,6,2,0,25.0
SVN,GK,33,1984,38,38,3420,38.0,30,0.79,117,91,76.1,20,12,6,17,44.7,2,2,0,0,0.0
ITA,GK,27,1990,1,0,28,0.3,1,3.21,2,1,50.0,0,0,0,0,,0,0,0,0,
ITA,GK,39,1978,21,21,1862,20.7,14,0.68,56,43,80.4,17,2,2,11,52.4,4,3,1,0,25.0
POL,GK,27,1990,17,17,1530,17.0,9,0.53,33,24,72.7,13,3,1,11,64.7,0,0,0,0,
ALB,GK,22,1995,38,38,3420,38.0,49,1.29,159,111,74.8,21,9,8,11,28.9,10,9,1,0,10.0
ITA,GK,18,1999,38,38,3420,38.0,42,1.11,132,91,69.7,18,10,10,12,31.6,3,2,0,1,0.0
ITA,GK,26,1991,1,1,90,1.0,0,0.0,1,1,100.0,0,1,0,1,100.0,0,0,0,0,
ESP,GK,34,1982,37,37,3330,37.0,29,0.78,97,68,72.2,28,6,3,18,48.6,2,2,0,0,0.0
BRA,GK,24,1992,37,37,3330,37.0,28,0.76,135,105,81.5,22,8,7,17,45.9,5,3,2,0,40.0
POL,GK,26,1991,1,1,90,1.0,0,0.0,3,3,100.0,1,0,0,1,100.0,0,0,0,0,
ITA,GK,20,1997,13,13,1158,12.9,16,1.24,60,44,78.3,2,7,4,4,30.8,5,3,2,0,40.0
SEN,GK,23,1993,26,25,2261,25.1,43,1.71,140,98,73.6,6,7,12,3,12.0,7,6,1,0,14.3
ITA,GK,21,1996,1,0,1,0.0,0,0.0,0,0,,0,0,0,0,,0,0,0,0,
ITA,GK,36,1981,9,9,810,9.0,12,1.33,53,41,83.0,5,2,2,3,33.3,3,3,0,0,0.0
ITA,GK,31,1985,27,27,2430,27.0,43,1.59,132,87,68.9,11,4,12,6,22.2,6,2,4,0,66.7
SVN,GK,27,1990,2,2,180,2.0,5,2.5,15,10,73.3,0,0,2,0,0.0,1,1,0,0,0.0
ITA,GK,30,1987,37,37,3316,36.8,58,1.57,172,114,67.4,11,10,16,10,27.0,3,2,1,0,33.3
ITA,GK,36,1981,2,1,104,1.2,1,0.87,6,6,83.3,0,0,1,0,0.0,0,0,0,0,
ITA,GK,30,1987,37,37,3330,37.0,45,1.22,158,110,74.7,12,15,10,10,27.0,8,5,3,0,37.5
SRB,GK,20,1997,1,1,90,1.0,1,1.0,2,1,50.0,1,0,0,0,0.0,0,0,0,0,
ARG,GK,39,1977,32,32,2880,32.0,52,1.62,143,92,65.0,11,4,17,8,25.0,5,2,2,1,50.0
ITA,GK,21,1996,6,6,540,6.0,11,1.83,27,16,59.3,1,0,5,1,16.7,1,0,1,0,100.0
ALB,GK,29,1989,18,18,1620,18.0,25,1.39,63,41,61.9,9,3,6,5,27.8,2,1,0,1,0.0
ITA,GK,27,1991,1,0,,0.0,0,,0,0,,0,0,0,0,,0,0,0,0,
ITA,GK,23,1995,20,20,1800,20.0,21,1.05,70,49,74.3,11,6,3,4,20.0,3,3,0,0,0.0
POL,GK,27,1991,38,38,3420,38.0,56,1.47,173,118,69.9,11,11,16,10,26.3,4,4,0,0,0.0
